--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.41796875}
{'name': 'cmd.exe', 'pid': 104, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.2109375}
{'name': 'winlogon.exe', 'pid': 344, 'username': None, 'vms': 2.2734375}
{'name': 'smss.exe', 'pid': 372, 'username': None, 'vms': 0.4453125}
{'name': 'fontdrvhost.exe', 'pid': 504, 'username': None, 'vms': 4.1484375}
{'name': 'csrss.exe', 'pid': 552, 'username': None, 'vms': 1.828125}
{'name': 'WUDFHost.exe', 'pid': 584, 'username': None, 'vms': 1.8125}
{'name': 'svchost.exe', 'pid': 660, 'username': None, 'vms': 7.1796875}
{'name': 'wininit.exe', 'pid': 664, 'username': None, 'vms': 1.2578125}
{'name': 'csrss.exe', 'pid': 680, 'username': None, 'vms': 2.33984375}
{'name': 'services.exe', 'pid': 736, 'username': None, 'vms': 5.171875}
{'name': 'lsass.exe', 'pid': 780, 'username': None, 'vms': 6.359375}
{'name': 'LockApp.exe', 'pid': 824, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 14.40625}
{'name': 'svchost.exe', 'pid': 892, 'username': None, 'vms': 0.91015625}
{'name': 'svchost.exe', 'pid': 916, 'username': None, 'vms': 11.3515625}
{'name': 'fontdrvhost.exe', 'pid': 936, 'username': None, 'vms': 1.83203125}
{'name': 'RuntimeBroker.exe', 'pid': 984, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 8.8828125}
{'name': 'dasHost.exe', 'pid': 1056, 'username': None, 'vms': 3.3046875}
{'name': 'svchost.exe', 'pid': 1060, 'username': None, 'vms': 2.47265625}
{'name': 'svchost.exe', 'pid': 1136, 'username': None, 'vms': 4.84765625}
{'name': 'dwm.exe', 'pid': 1156, 'username': None, 'vms': 60.125}
{'name': 'svchost.exe', 'pid': 1220, 'username': None, 'vms': 1.9375}
{'name': 'svchost.exe', 'pid': 1272, 'username': None, 'vms': 3.515625}
{'name': 'svchost.exe', 'pid': 1320, 'username': None, 'vms': 2.46484375}
{'name': 'svchost.exe', 'pid': 1328, 'username': None, 'vms': 7.90625}
{'name': 'RuntimeBroker.exe', 'pid': 1384, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 6.3359375}
{'name': 'svchost.exe', 'pid': 1440, 'username': None, 'vms': 6.015625}
{'name': 'svchost.exe', 'pid': 1448, 'username': None, 'vms': 13.6484375}
{'name': 'svchost.exe', 'pid': 1508, 'username': None, 'vms': 2.109375}
{'name': 'svchost.exe', 'pid': 1588, 'username': None, 'vms': 2.4375}
{'name': 'RuntimeBroker.exe', 'pid': 1616, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 7.05078125}
{'name': 'Explorer.exe', 'pid': 1648, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 55.08984375}
{'name': 'svchost.exe', 'pid': 1672, 'username': None, 'vms': 1.6796875}
{'name': 'chrome.exe', 'pid': 1724, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 23.82421875}
{'name': 'svchost.exe', 'pid': 1740, 'username': None, 'vms': 2.13671875}
{'name': 'svchost.exe', 'pid': 1760, 'username': None, 'vms': 4.35546875}
{'name': 'svchost.exe', 'pid': 1860, 'username': None, 'vms': 2.1953125}
{'name': 'NPAV4.EXE', 'pid': 1884, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.4921875}
{'name': 'svchost.exe', 'pid': 1940, 'username': None, 'vms': 1.546875}
{'name': 'svchost.exe', 'pid': 1948, 'username': None, 'vms': 1.8671875}
{'name': 'svchost.exe', 'pid': 1956, 'username': None, 'vms': 1.90234375}
{'name': 'SmartAudio.exe', 'pid': 1984, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 56.06640625}
{'name': 'NVDisplay.Container.exe', 'pid': 2068, 'username': None, 'vms': 2.546875}
{'name': 'svchost.exe', 'pid': 2080, 'username': None, 'vms': 1.9765625}
{'name': 'cmd.exe', 'pid': 2100, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.0859375}
{'name': 'NPAVIDS.EXE', 'pid': 2120, 'username': None, 'vms': 3.1171875}
{'name': 'svchost.exe', 'pid': 2128, 'username': None, 'vms': 2.671875}
{'name': 'chrome.exe', 'pid': 2132, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 70.41015625}
{'name': 'svchost.exe', 'pid': 2172, 'username': None, 'vms': 3.25390625}
{'name': 'svchost.exe', 'pid': 2184, 'username': None, 'vms': 2.1953125}
{'name': 'chrome.exe', 'pid': 2204, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 80.54296875}
{'name': 'svchost.exe', 'pid': 2304, 'username': None, 'vms': 79.51953125}
{'name': 'svchost.exe', 'pid': 2312, 'username': None, 'vms': 1.2421875}
{'name': 'svchost.exe', 'pid': 2320, 'username': None, 'vms': 1.94140625}
{'name': 'Memory Compression', 'pid': 2384, 'username': None, 'vms': 0.99609375}
{'name': 'svchost.exe', 'pid': 2456, 'username': None, 'vms': 2.05859375}
{'name': 'spoolsv.exe', 'pid': 2484, 'username': None, 'vms': 5.84375}
{'name': 'igfxCUIService.exe', 'pid': 2492, 'username': None, 'vms': 1.6796875}
{'name': 'svchost.exe', 'pid': 2548, 'username': None, 'vms': 1.7578125}
{'name': 'svchost.exe', 'pid': 2556, 'username': None, 'vms': 1.75}
{'name': 'svchost.exe', 'pid': 2652, 'username': None, 'vms': 2.58203125}
{'name': 'svchost.exe', 'pid': 2712, 'username': None, 'vms': 1.92578125}
{'name': 'svchost.exe', 'pid': 2716, 'username': None, 'vms': 3.19140625}
{'name': 'svchost.exe', 'pid': 2736, 'username': None, 'vms': 1.66015625}
{'name': 'svchost.exe', 'pid': 2744, 'username': None, 'vms': 3.77734375}
{'name': 'svchost.exe', 'pid': 2756, 'username': None, 'vms': 3.55078125}
{'name': 'svchost.exe', 'pid': 2876, 'username': None, 'vms': 1.8671875}
{'name': 'svchost.exe', 'pid': 2940, 'username': None, 'vms': 3.66796875}
{'name': 'svchost.exe', 'pid': 2960, 'username': None, 'vms': 36.03125}
{'name': 'svchost.exe', 'pid': 3032, 'username': None, 'vms': 5.34765625}
{'name': 'EMON.EXE', 'pid': 3044, 'username': None, 'vms': 8.921875}
{'name': 'chrome.exe', 'pid': 3096, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 94.57421875}
{'name': 'svchost.exe', 'pid': 3128, 'username': None, 'vms': 2.25}
{'name': 'svchost.exe', 'pid': 3188, 'username': None, 'vms': 7.1328125}
{'name': 'chrome.exe', 'pid': 3276, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 128.42578125}
{'name': 'chrome.exe', 'pid': 3376, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 71.92578125}
{'name': 'nvxdsync.exe', 'pid': 3468, 'username': None, 'vms': 12.984375}
